,train,val,test
135,C3N-01021-27,C3L-04082-21,C3N-02248-25
136,C3L-03985-24,C3N-03755-21,C3N-00313-22
137,C3N-02158-27,C3L-04083-24,C3L-01287-23
138,C3L-04365-22,C3L-03405-26,C3N-01086-27
139,C3N-01023-21,C3N-03001-23,C3L-01034-22
140,C3L-00279-23,C3L-04795-24,C3L-00606-23
141,C3N-02929-21,C3N-01856-23,C3N-00492-25
142,C3L-02345-23,C3L-03681-22,C3N-02082-21
143,C3N-02237-22,C3N-01368-21,C3L-01836-22
144,C3N-02231-26,C3L-03554-22,C3L-01952-21
145,C3L-00412-21,C3L-02041-21,C3N-00494-21
146,C3N-02231-23,C3N-02183-23,C3L-02175-22
147,C3N-02586-21,C3L-04036-25,C3N-02577-21
148,C3L-04759-25,C3L-00019-21,C3L-01951-21
149,C3L-00083-21,C3L-03557-25,C3L-00917-23
150,C3L-02165-23,,C3N-00390-27
151,C3N-02089-24,,C3N-00149-24
152,C3N-00293-23,,C3L-00447-26
153,C3N-00550-23,,C3N-00491-21
154,C3L-02515-21,,C3L-04354-27
155,C3N-02192-22,,C3L-02621-22
156,C3N-01823-22,,C3N-03888-22
157,C3N-01405-23,,C3N-03012-25
158,C3N-00433-22,,C3N-00295-22
159,C3N-01416-21,,C3N-00295-23
160,C3N-01405-27,,C3N-04153-23
161,C3N-01842-22,,C3L-00994-21
162,C3N-00223-21,,C3N-04277-22
163,C3N-03202-22,,C3L-00995-24
164,C3N-00294-23,,C3N-01645-22
165,C3N-00545-26,,C3N-03841-21
166,C3L-00604-26,,C3N-03226-22
167,C3N-03911-22,,C3N-00498-22
168,C3N-02715-22,,C3L-04025-22
169,C3N-02150-27,,C3N-00297-23
170,C3L-01924-22,,C3N-01757-21
171,C3N-00959-26,,C3N-00204-26
172,C3N-02588-23,,C3N-00299-21
173,C3N-02672-28,,C3N-02275-24
174,C3L-00093-21,,C3N-03487-22
175,C3N-02193-23,,C3N-00249-27
176,C3N-03890-21,,C3L-01702-22
177,C3N-02237-21,,C3L-02809-27
178,C3L-04784-22,,C3N-00249-23
179,C3L-01890-22,,C3L-01662-22
180,C3N-01022-27,,C3L-01053-25
181,C3L-00444-23,,C3N-01907-22
182,C3L-03679-22,,C3L-01053-28
183,C3N-02193-27,,C3L-01637-21
184,C3N-02142-21,,C3L-01689-23
185,C3N-02153-23,,C3N-02940-22
186,C3N-02758-21,,C3L-00881-24
187,C3N-02143-27,,C3N-01997-23
188,C3L-00510-21,,C3N-00303-23
189,C3N-01415-27,,C3L-00640-21
190,C3N-03057-22,,C3L-00589-22
191,C3N-02251-28,,C3L-01689-21
192,C3L-02513-25,,C3N-02591-25
193,C3L-04376-22,,C3N-01166-21
194,C3N-00560-26,,C3L-01032-21
195,C3N-01413-24,,C3L-02897-21
196,C3L-02616-21,,C3N-00198-21
197,C3L-04373-27,,C3L-00885-23
198,C3N-01413-26,,C3L-01687-21
199,C3N-00580-21,,C3N-02010-26
200,C3N-03052-21,,C3L-01054-24
201,C3N-00572-26,,C3L-01598-26
202,C3N-02141-27,,C3L-01453-25
203,C3L-01889-26,,C3L-03356-26
204,C3L-00973-25,,C3N-03778-23
205,C3L-00510-22,,C3N-03006-22
206,C3L-03726-24,,C3N-01535-21
207,C3N-00433-25,,C3L-03403-21
208,C3N-00546-23,,C3N-02942-22
209,C3N-01030-22,,C3L-02103-21
210,C3N-01414-26,,C3N-02340-21
211,C3N-00199-23,,C3L-02630-24
212,C3L-04784-26,,C3N-01532-21
213,C3N-04616-26,,C3L-01551-21
214,C3N-01489-27,,C3L-00567-23
215,C3N-04330-23,,C3L-06162-27
216,C3N-01410-27,,C3N-02038-26
217,C3N-02146-23,,C3L-01038-25
218,C3N-03073-21,,C3N-01523-23
219,C3N-02230-23,,C3L-05501-25
220,C3L-00095-26,,C3N-00171-22
221,C3N-01022-22,,C3N-03227-23
222,C3N-02379-21,,C3L-03403-22
223,C3L-02169-24,,C3L-02121-24
224,C3N-00169-22,,C3N-02247-23
225,C3N-00559-27,,C3L-02409-25
226,C3L-04757-21,,C3L-01729-22
227,C3N-00551-26,,C3N-00333-21
228,C3N-02923-27,,C3L-01355-25
229,C3L-00913-21,,C3N-01529-23
230,C3N-01419-26,,C3N-01873-23
231,C3L-02954-21,,C3N-01880-24
232,C3N-01030-23,,C3L-01840-21
233,C3N-02919-26,,C3N-03044-23
234,C3N-03911-21,,C3N-00848-22
235,C3N-02423-23,,C3N-00389-25
236,C3N-02146-22,,C3L-02121-21
237,C3N-00545-24,,C3L-03594-23
238,C3L-02365-25,,C3L-02557-23
239,C3N-02242-23,,C3L-00356-26
240,C3N-01016-21,,C3N-00836-23
241,C3N-03238-22,,C3N-02247-24
242,C3N-00223-26,,C3L-00161-25
243,C3L-02957-22,,C3N-01211-24
244,C3L-02508-22,,C3N-00836-22
245,C3L-04373-28,,C3N-00323-23
246,C3L-03642-22,,C3L-01967-23
247,C3L-01330-23,,C3N-00383-21
248,C3L-02967-21,,C3L-01967-25
249,C3L-04037-24,,C3L-00949-22
250,C3N-00579-23,,C3N-00729-26
251,C3N-00578-27,,C3N-02636-21
252,C3L-00444-26,,C3L-02468-25
253,C3N-00175-21,,C3N-00389-23
254,C3L-01862-21,,C3N-00848-21
255,C3L-04744-28,,C3N-01877-24
256,C3N-02003-22,,C3N-00335-22
257,C3N-01417-27,,C3N-00200-23
258,C3N-02193-22,,C3N-00379-21
259,C3L-03969-27,,C3N-01520-21
260,C3N-02281-23,,C3N-00377-26
261,C3L-04031-27,,C3L-01744-21
262,C3N-02002-21,,C3L-00098-26
263,C3N-03911-23,,C3L-00139-26
264,C3L-04759-27,,C3L-00898-21
265,C3L-02165-25,,C3N-00377-27
266,C3N-04166-22,,C3L-05571-25
267,C3N-00433-24,,C3N-00323-24
268,C3N-04157-26,,C3L-00962-21
269,C3N-01417-23,,C3N-00334-22
270,C3N-01410-23,,C3N-02296-21
271,C3N-01842-23,,C3L-02216-22
272,C3N-02920-26,,C3N-01816-22
273,C3N-01023-23,,C3L-04838-24
274,C3L-04037-27,,C3N-04686-22
275,C3N-01030-21,,C3L-01149-22
276,C3N-00550-24,,C3L-00278-21
277,C3N-02158-26,,C3L-03968-22
278,C3L-02643-24,,C3L-04362-25
279,C3L-02350-22,,C3L-00349-22
280,C3L-03984-27,,C3N-02255-22
281,C3L-02165-22,,C3L-03385-26
282,C3N-00550-21,,C3L-00424-21
283,C3L-02957-21,,C3L-04339-25
284,C3N-02916-24,,C3L-03400-25
285,C3N-00580-24,,C3N-00663-21
286,C3N-02582-23,,C3N-03184-22
287,C3L-00144-26,,C3N-01857-21
288,C3L-02560-26,,C3L-04843-23
289,C3L-03462-21,,C3L-04362-23
290,C3N-02087-21,,C3N-03180-23
291,C3N-02143-22,,C3L-04090-21
292,C3N-02242-22,,C3N-02785-21
293,C3L-03984-25,,C3L-00016-24
294,C3N-02282-30,,C3L-04213-22
295,C3L-01862-22,,C3N-03183-23
296,C3L-04031-23,,C3L-01045-24
297,C3N-00175-26,,C3L-01045-23
298,C3L-04743-22,,C3L-03554-23
299,C3N-00551-21,,C3N-01850-21
300,C3N-00704-24,,C3N-04100-21
301,C3N-01072-23,,C3N-04312-22
302,C3N-02152-27,,C3N-01815-22
303,C3N-02240-24,,C3N-03088-22
304,C3L-02508-24,,C3L-04083-25
305,C3N-00547-23,,C3N-02770-29
306,C3L-00510-23,,C3L-01061-22
307,C3L-01682-21,,
308,C3N-01024-22,,
309,C3L-04376-25,,
310,C3L-04759-22,,
311,C3N-03073-23,,
312,C3L-04784-24,,
313,C3N-00546-26,,
314,C3L-00444-21,,
315,C3N-02729-22,,
316,C3N-03074-22,,
317,C3N-00546-27,,
318,C3N-02152-23,,
319,C3N-01021-22,,
320,C3N-01409-27,,
321,C3N-02237-23,,
322,C3N-00223-27,,
323,C3L-02345-22,,
324,C3L-04037-23,,
325,C3N-02193-24,,
326,C3L-00446-25,,
327,C3L-02601-26,,
328,C3N-02067-21,,
329,C3N-03052-22,,
330,C3L-02348-22,,
331,C3N-00556-24,,
332,C3N-02155-24,,
333,C3N-02950-26,,
334,C3L-03462-22,,
335,C3L-00510-25,,
336,C3N-01799-26,,
337,C3N-02586-22,,
338,C3L-02661-21,,
339,C3L-00080-21,,
340,C3N-02234-27,,
341,C3N-00559-26,,
342,C3N-01022-23,,
343,C3N-02240-23,,
344,C3N-03420-22,,
345,C3N-01019-23,,
346,C3L-03976-27,,
347,C3L-04373-21,,
348,C3L-00893-22,,
349,C3N-02089-27,,
350,C3L-04744-24,,
351,C3N-01410-21,,
352,C3N-02234-26,,
353,C3N-02916-27,,
354,C3N-04171-26,,
355,C3N-02424-23,,
356,C3L-02219-21,,
357,C3N-02240-26,,
358,C3L-01330-25,,
359,C3N-02144-24,,
360,C3N-00217-24,,
361,C3N-01416-23,,
362,C3L-00893-24,,
363,C3L-03262-26,,
364,C3N-01419-27,,
365,C3N-02251-26,,
366,C3L-00140-22,,
367,C3N-02149-22,,
368,C3N-02916-23,,
369,C3L-00093-26,,
370,C3N-00167-21,,
371,C3N-00293-24,,
372,C3N-02192-25,,
373,C3L-00973-21,,
374,C3N-02948-22,,
375,C3N-02380-22,,
376,C3N-03929-26,,
377,C3N-02143-23,,
378,C3L-01330-21,,
379,C3N-03063-23,,
380,C3N-02729-23,,
381,C3L-04040-24,,
382,C3L-00913-23,,
383,C3N-01071-26,,
384,C3N-00578-26,,
385,C3N-04180-30,,
386,C3N-01030-27,,
387,C3N-02234-23,,
388,C3L-00001-21,,
389,C3N-03074-21,,
390,C3N-01415-26,,
391,C3L-00444-27,,
392,C3N-00169-23,,
393,C3N-02729-21,,
394,C3L-02643-23,,
395,C3N-02143-26,,
396,C3N-02948-27,,
397,C3L-04033-22,,
398,C3N-03080-22,,
399,C3N-00169-27,,
400,C3L-04743-25,,
401,C3N-02089-23,,
402,C3L-04370-25,,
403,C3L-01924-23,,
404,C3L-00422-23,,
405,C3N-02587-22,,
406,C3L-02345-26,,
407,C3N-02146-24,,
408,C3L-04033-24,,
409,C3L-04037-26,,
410,C3N-02758-22,,
411,C3L-02549-26,,
412,C3N-02572-21,,
413,C3L-00422-26,,
414,C3N-03212-23,,
415,C3L-04759-28,,
416,C3N-02422-21,,
417,C3N-02718-23,,
418,C3L-00446-23,,
419,C3N-02423-21,,
420,C3N-01409-21,,
421,C3N-01823-23,,
422,C3N-00560-23,,
423,C3N-02718-21,,
424,C3N-02144-23,,
425,C3N-01489-22,,
426,C3N-00572-22,,
427,C3L-04365-23,,
428,C3N-02141-23,,
429,C3N-03202-23,,
430,C3N-00546-21,,
431,C3N-04382-21,,
432,C3N-00175-27,,
433,C3N-02251-27,,
434,C3N-00574-26,,
435,C3L-03726-23,,
436,C3L-00094-26,,
437,C3N-02928-23,,
438,C3N-03073-22,,
439,C3L-04744-21,,
440,C3N-00433-23,,
441,C3N-00547-22,,
442,C3N-00959-22,,
443,C3L-04031-26,,
444,C3N-02149-21,,
445,C3L-03726-21,,
446,C3N-01415-21,,
447,93e30fd5-e57e-4503-a175-863c7d_D1_D1,,
448,C3N-00223-24,,
449,C3N-02242-27,,
450,C3N-00180-22,,
451,C3N-00550-27,,
452,C3L-04376-24,,
453,C3N-02193-21,,
454,C3N-02828-22,,
455,C3L-00973-27,,
456,C3L-04373-24,,
457,C3N-03054-22,,
458,C3N-00545-27,,
459,C3L-00422-25,,
460,C3N-04166-23,,
461,C3N-00223-22,,
462,C3L-03721-22,,
463,C3L-04784-28,,
464,C3N-00203-26,,
465,C3N-03765-27,,
466,C3L-03969-28,,
467,C3N-03929-21,,
468,C3N-00579-26,,
469,C3N-02529-21,,
470,C3N-00217-22,,
471,C3L-02365-24,,
472,C3N-03080-23,,
473,C3L-02559-26,,
474,C3N-00223-23,,
475,C3N-00293-25,,
476,C3L-01330-26,,
477,C3N-02721-26,,
478,C3L-02513-22,,
479,C3N-02757-23,,
480,C3N-01489-24,,
481,C3N-00738-22,,
482,C3L-04033-23,,
483,C3N-02087-26,,
484,C3N-02715-21,,
485,C3N-02588-22,,
486,C3N-00551-23,,
487,C3N-02923-21,,
488,C3L-03984-22,,
489,C3N-01016-24,,
490,C3L-04040-27,,
491,C3L-04376-23,,
492,C3N-01405-24,,
493,C3L-01683-26,,
494,C3N-01417-26,,
495,C3L-03642-21,,
496,C3N-01413-21,,
497,C3N-01823-21,,
498,C3N-03890-22,,
499,C3N-04168-23,,
500,C3N-02192-26,,
501,C3N-02090-27,,
502,C3N-03038-22,,
503,2f2e5477-42a4-4906-a943-bf7f80_D1_D1,,
504,C3L-00263-23,,
505,C3N-00433-21,,
506,C3N-02149-26,,
507,C3N-00167-22,,
508,C3N-02090-22,,
509,C3N-00203-21,,
510,C3N-00579-24,,
511,C3N-03054-21,,
512,C3L-02601-21,,
513,C3L-00604-23,,
514,C3N-03921-23,,
515,C3L-02654-25,,
516,C3L-01682-23,,
517,C3N-01842-21,,
518,C3L-03984-21,,
519,C3N-01072-26,,
520,C3L-04743-28,,
521,C3N-02433-21,,
522,C3L-02165-21,,
523,C3N-01023-24,,
524,C3N-04168-22,,
525,C3N-01416-22,,
526,C3N-00704-22,,
527,C3N-03210-21,,
528,C3L-02957-26,,
529,C3L-03271-22,,
530,C3L-01632-21,,
531,C3N-02757-22,,
532,C3N-00547-27,,
533,C3N-01071-27,,
534,C3L-02616-24,,
535,C3L-01682-22,,
536,C3N-04166-21,,
537,C3N-02087-27,,
538,C3L-03268-25,,
539,C3N-01414-21,,
540,C3N-04297-24,,
541,C3N-01823-26,,
542,C3N-01019-22,,
543,C3N-00203-24,,
544,C3N-00550-26,,
545,C3N-00203-22,,
546,C3N-02067-23,,
547,C3N-00167-23,,
548,C3N-00545-22,,
549,C3L-04376-28,,
550,C3N-02671-21,,
551,C3N-02926-23,,
552,C3N-02948-23,,
553,C3N-02146-27,,
554,C3N-04616-23,,
555,C3N-00433-27,,
556,C3L-00368-21,,
557,C3N-04171-29,,
558,C3N-00180-23,,
559,C3L-01890-26,,
560,C3N-02586-23,,
561,C3L-04743-24,,
562,C3N-00579-27,,
563,C3N-02231-22,,
564,C3N-01016-26,,
565,C3N-02090-23,,
566,C3L-00422-21,,
567,C3N-00556-21,,
568,C3N-02145-22,,
569,C3N-00556-26,,
570,C3N-02433-22,,
571,C3N-02149-27,,
572,C3L-00604-21,,
573,C3N-02920-22,,
574,C3N-01408-23,,
575,C3N-03080-21,,
576,C3N-02144-27,,
577,C3N-01408-21,,
578,C3L-04040-21,,
579,C3N-00737-21,,
580,C3N-03205-21,,
581,C3N-00580-26,,
582,C3L-04373-22,,
583,C3L-02513-23,,
584,C3L-00893-21,,
585,C3L-02643-27,,
586,C3N-00556-22,,
587,C3N-02923-24,,
588,C3N-02920-27,,
589,C3L-02345-21,,
590,C3N-02003-23,,
591,C3L-00263-25,,
592,C3L-04759-24,,
593,C3L-02129-21,,
594,C3N-03921-21,,
595,C3L-03984-28,,
596,C3L-03463-26,,
597,C3L-00279-26,,
598,C3N-00546-22,,
599,C3L-04744-26,,
600,C3N-02150-21,,
601,C3L-04040-22,,
602,C3N-00203-23,,
603,C3N-01071-23,,
604,C3N-03222-26,,
605,C3N-02088-27,,
606,C3N-02928-21,,
607,C3N-01416-27,,
608,C3N-02728-23,,
609,C3N-01416-24,,
610,C3N-01072-27,,
611,C3N-02088-21,,
612,C3L-04365-25,,
613,C3N-03233-23,,
614,C3L-01924-21,,
615,C3N-01414-27,,
616,C3N-02922-27,,
617,C3L-02515-24,,
618,C3N-01417-21,,
619,C3N-00552-23,,
620,C3N-01419-22,,
621,C3N-04166-26,,
622,C3N-01408-27,,
623,C3N-00574-24,,
624,C3N-02828-21,,
625,C3L-03985-22,,
626,C3N-00560-27,,
627,C3L-02834-24,,
628,C3N-01409-24,,
629,C3N-02150-23,,
630,C3N-04180-21,,
631,C3N-00737-27,,
632,C3N-02145-26,,
633,C3N-01405-26,,
634,C3N-02144-26,,
635,C3N-01072-24,,
636,C3L-02549-21,,
637,C3L-00263-26,,
638,C3N-00217-27,,
639,C3N-01024-21,,
640,C3N-04168-21,,
641,C3N-02158-23,,
642,C3N-02379-23,,
643,C3N-03205-23,,
644,C3L-02967-26,,
645,C3L-01862-23,,
646,C3N-02572-22,,
647,C3L-03271-21,,
648,C3N-01072-21,,
649,C3L-03268-22,,
650,C3N-03063-22,,
651,C3L-04037-28,,
652,C3L-04365-27,,
653,C3N-02919-22,,
654,C3N-02282-25,,
655,C3L-04031-25,,
656,C3N-02142-27,,
657,C3N-02146-21,,
658,C3N-02950-22,,
659,C3N-02146-26,,
660,C3N-01071-21,,
661,C3L-00973-24,,
662,C3N-01410-26,,
663,C3N-01489-21,,
664,C3L-01683-27,,
665,C3L-00140-26,,
666,C3L-01683-28,,
667,C3L-02513-24,,
668,C3N-02424-21,,
669,C3N-00549-24,,
670,C3N-02923-26,,
671,C3N-02728-21,,
672,C3N-00552-21,,
673,C3N-02715-23,,
674,C3N-02192-24,,
675,C3N-00199-27,,
676,C3N-02423-22,,
677,C3L-03726-26,,
678,C3N-02141-22,,
679,C3N-02721-23,,
680,C3N-00572-21,,
681,C3N-02145-24,,
682,C3L-00446-22,,
683,C3N-02000-23,,
684,C3N-02242-21,,
685,C3N-00199-26,,
686,C3L-00095-21,,
687,C3N-00199-21,,
688,C3N-00580-23,,
689,C3L-02508-26,,
690,C3N-02582-22,,
691,C3N-03890-26,,
692,C3N-01074-23,,
693,C3L-04744-27,,
694,C3N-04616-22,,
695,C3N-00551-22,,
696,C3L-02961-26,,
697,C3N-04616-21,,
698,C3N-02281-24,,
699,C3N-00217-23,,
700,C3L-02661-26,,
701,C3L-00510-24,,
702,C3L-03726-25,,
703,C3N-01021-23,,
704,C3N-03921-22,,
705,C3N-01023-26,,
706,C3N-02090-21,,
707,C3N-00552-26,,
708,C3N-02920-24,,
709,C3N-02764-23,,
710,C3L-04757-28,,
711,C3N-00738-24,,
712,C3L-02893-26,,
713,C3N-01799-27,,
714,C3L-01632-22,,
715,C3N-00547-21,,
716,C3N-01019-26,,
717,C3N-01413-23,,
718,C3N-01419-23,,
719,C3N-02948-26,,
720,C3N-02150-22,,
721,C3N-00549-26,,
722,C3N-02090-26,,
723,C3L-03268-23,,
724,C3L-04365-21,,
725,C3L-00444-22,,
726,C3N-00578-24,,
727,C3L-04031-24,,
728,C3L-02654-28,,
729,C3L-03268-26,,
730,C3L-03969-22,,
731,C3L-00446-26,,
732,C3N-02424-22,,
733,C3N-00549-27,,
734,C3N-02973-27,,
735,C3N-02153-26,,
736,C3L-01683-29,,
737,C3N-03238-21,,
738,C3L-03985-25,,
739,C3N-01409-22,,
740,C3N-03238-26,,
741,C3N-01410-24,,
742,C3L-04757-24,,
743,C3N-02141-21,,
744,C3L-02654-26,,
745,C3N-02002-22,,
746,C3L-02508-25,,
747,C3N-03212-21,,
748,C3L-03969-21,,
749,C3N-01408-22,,
750,C3N-02240-21,,
751,C3N-02923-23,,
752,C3N-04714-21,,
753,C3N-01419-24,,
754,5a84eae1-197e-4463-ad65-59becc_D1_D1,,
755,C3N-02916-21,,
756,C3N-00547-26,,
757,C3L-02350-26,,
758,C3L-04365-24,,
759,C3L-00368-22,,
760,C3N-01074-21,,
761,C3N-02142-22,,
762,C3L-04743-23,,
763,C3N-03057-21,,
764,C3N-02230-26,,
765,C3N-02150-26,,
766,C3N-04157-21,,
767,C3L-02643-22,,
768,C3N-02088-24,,
769,C3N-00559-23,,
770,C3N-02919-23,,
771,C3N-01016-22,,
772,C3L-02515-22,,
773,C3L-00140-21,,
774,C3N-02929-23,,
775,C3L-02129-24,,
776,C3N-02089-22,,
777,C3N-00559-21,,
778,C3L-04373-25,,
779,C3N-00574-23,,
780,C3N-03222-23,,
781,C3N-01023-27,,
782,C3N-03222-21,,
783,C3L-00604-22,,
784,C3L-04370-27,,
785,C3L-02961-21,,
786,C3L-02165-24,,
787,C3N-02141-26,,
788,C3N-01019-24,,
789,C3N-04382-27,,
