,train,val,test
C3L-00263-27,True,False,False
C3L-02834-26,True,False,False
C3N-01489-26,True,False,False
C3N-02149-24,True,False,False
C3N-03233-21,True,False,False
C3L-04370-22,True,False,False
C3N-01019-27,True,False,False
C3N-00704-21,True,False,False
C3L-02515-25,True,False,False
C3L-04784-21,True,False,False
C3N-02230-24,True,False,False
C3L-04365-28,True,False,False
C3N-01021-27,True,False,False
C3L-03985-24,True,False,False
C3N-02158-27,True,False,False
C3L-04365-22,True,False,False
C3N-01023-21,True,False,False
C3L-00279-23,True,False,False
C3N-02929-21,True,False,False
C3L-02345-23,True,False,False
C3N-02237-22,True,False,False
C3N-02231-26,True,False,False
C3L-00412-21,True,False,False
C3N-02231-23,True,False,False
C3N-02586-21,True,False,False
C3L-04759-25,True,False,False
C3L-00083-21,True,False,False
C3L-02165-23,True,False,False
C3N-02089-24,True,False,False
C3N-00293-23,True,False,False
C3N-00550-23,True,False,False
C3L-02515-21,True,False,False
C3N-02192-22,True,False,False
C3N-01823-22,True,False,False
C3N-01405-23,True,False,False
C3N-00433-22,True,False,False
C3N-01416-21,True,False,False
C3N-01405-27,True,False,False
C3N-01842-22,True,False,False
C3N-00223-21,True,False,False
C3N-03202-22,True,False,False
C3N-00294-23,True,False,False
C3N-00545-26,True,False,False
C3L-00604-26,True,False,False
C3N-03911-22,True,False,False
C3N-02715-22,True,False,False
C3N-02150-27,True,False,False
C3L-01924-22,True,False,False
C3N-00959-26,True,False,False
C3N-02588-23,True,False,False
C3N-02672-28,True,False,False
C3L-00093-21,True,False,False
C3N-02193-23,True,False,False
C3N-03890-21,True,False,False
C3N-02237-21,True,False,False
C3L-04784-22,True,False,False
C3L-01890-22,True,False,False
C3N-01022-27,True,False,False
C3L-00444-23,True,False,False
C3L-03679-22,True,False,False
C3N-02193-27,True,False,False
C3N-02142-21,True,False,False
C3N-02153-23,True,False,False
C3N-02758-21,True,False,False
C3N-02143-27,True,False,False
C3L-00510-21,True,False,False
C3N-01415-27,True,False,False
C3N-03057-22,True,False,False
C3N-02251-28,True,False,False
C3L-02513-25,True,False,False
C3L-04376-22,True,False,False
C3N-00560-26,True,False,False
C3N-01413-24,True,False,False
C3L-02616-21,True,False,False
C3L-04373-27,True,False,False
C3N-01413-26,True,False,False
C3N-00580-21,True,False,False
C3N-03052-21,True,False,False
C3N-00572-26,True,False,False
C3N-02141-27,True,False,False
C3L-01889-26,True,False,False
C3L-00973-25,True,False,False
C3L-00510-22,True,False,False
C3L-03726-24,True,False,False
C3N-00433-25,True,False,False
C3N-00546-23,True,False,False
C3N-01030-22,True,False,False
C3N-01414-26,True,False,False
C3N-00199-23,True,False,False
C3L-04784-26,True,False,False
C3N-04616-26,True,False,False
C3N-01489-27,True,False,False
C3N-04330-23,True,False,False
C3N-01410-27,True,False,False
C3N-02146-23,True,False,False
C3N-03073-21,True,False,False
C3N-02230-23,True,False,False
C3L-00095-26,True,False,False
C3N-01022-22,True,False,False
C3N-02379-21,True,False,False
C3L-02169-24,True,False,False
C3N-00169-22,True,False,False
C3N-00559-27,True,False,False
C3L-04757-21,True,False,False
C3N-00551-26,True,False,False
C3N-02923-27,True,False,False
C3L-00913-21,True,False,False
C3N-01419-26,True,False,False
C3L-02954-21,True,False,False
C3N-01030-23,True,False,False
C3N-02919-26,True,False,False
C3N-03911-21,True,False,False
C3N-02423-23,True,False,False
C3N-02146-22,True,False,False
C3N-00545-24,True,False,False
C3L-02365-25,True,False,False
C3N-02242-23,True,False,False
C3N-01016-21,True,False,False
C3N-03238-22,True,False,False
C3N-00223-26,True,False,False
C3L-02957-22,True,False,False
C3L-02508-22,True,False,False
C3L-04373-28,True,False,False
C3L-03642-22,True,False,False
C3L-01330-23,True,False,False
C3L-02967-21,True,False,False
C3L-04037-24,True,False,False
C3N-00579-23,True,False,False
C3N-00578-27,True,False,False
C3L-00444-26,True,False,False
C3N-00175-21,True,False,False
C3L-01862-21,True,False,False
C3L-04744-28,True,False,False
C3N-02003-22,True,False,False
C3N-01417-27,True,False,False
C3N-02193-22,True,False,False
C3L-03969-27,True,False,False
C3N-02281-23,True,False,False
C3L-04031-27,True,False,False
C3N-02002-21,True,False,False
C3N-03911-23,True,False,False
C3L-04759-27,True,False,False
C3L-02165-25,True,False,False
C3N-04166-22,True,False,False
C3N-00433-24,True,False,False
C3N-04157-26,True,False,False
C3N-01417-23,True,False,False
C3N-01410-23,True,False,False
C3N-01842-23,True,False,False
C3N-02920-26,True,False,False
C3N-01023-23,True,False,False
C3L-04037-27,True,False,False
C3N-01030-21,True,False,False
C3N-00550-24,True,False,False
C3N-02158-26,True,False,False
C3L-02643-24,True,False,False
C3L-02350-22,True,False,False
C3L-03984-27,True,False,False
C3L-02165-22,True,False,False
C3N-00550-21,True,False,False
C3L-02957-21,True,False,False
C3N-02916-24,True,False,False
C3N-00580-24,True,False,False
C3N-02582-23,True,False,False
C3L-00144-26,True,False,False
C3L-02560-26,True,False,False
C3L-03462-21,True,False,False
C3N-02087-21,True,False,False
C3N-02143-22,True,False,False
C3N-02242-22,True,False,False
C3L-03984-25,True,False,False
C3N-02282-30,True,False,False
C3L-01862-22,True,False,False
C3L-04031-23,True,False,False
C3N-00175-26,True,False,False
C3L-04743-22,True,False,False
C3N-00551-21,True,False,False
C3N-00704-24,True,False,False
C3N-01072-23,True,False,False
C3N-02152-27,True,False,False
C3N-02240-24,True,False,False
C3L-02508-24,True,False,False
C3N-00547-23,True,False,False
C3L-00510-23,True,False,False
C3L-01682-21,True,False,False
C3N-01024-22,True,False,False
C3L-04376-25,True,False,False
C3L-04759-22,True,False,False
C3N-03073-23,True,False,False
C3L-04784-24,True,False,False
C3N-00546-26,True,False,False
C3L-00444-21,True,False,False
C3N-02729-22,True,False,False
C3N-03074-22,True,False,False
C3N-00546-27,True,False,False
C3N-02152-23,True,False,False
C3N-01021-22,True,False,False
C3N-01409-27,True,False,False
C3N-02237-23,True,False,False
C3N-00223-27,True,False,False
C3L-02345-22,True,False,False
C3L-04037-23,True,False,False
C3N-02193-24,True,False,False
C3L-00446-25,True,False,False
C3L-02601-26,True,False,False
C3N-02067-21,True,False,False
C3N-03052-22,True,False,False
C3L-02348-22,True,False,False
C3N-00556-24,True,False,False
C3N-02155-24,True,False,False
C3N-02950-26,True,False,False
C3L-03462-22,True,False,False
C3L-00510-25,True,False,False
C3N-01799-26,True,False,False
C3N-02586-22,True,False,False
C3L-02661-21,True,False,False
C3L-00080-21,True,False,False
C3N-02234-27,True,False,False
C3N-00559-26,True,False,False
C3N-01022-23,True,False,False
C3N-02240-23,True,False,False
C3N-03420-22,True,False,False
C3N-01019-23,True,False,False
C3L-03976-27,True,False,False
C3L-04373-21,True,False,False
C3L-00893-22,True,False,False
C3N-02089-27,True,False,False
C3L-04744-24,True,False,False
C3N-01410-21,True,False,False
C3N-02234-26,True,False,False
C3N-02916-27,True,False,False
C3N-04171-26,True,False,False
C3N-02424-23,True,False,False
C3L-02219-21,True,False,False
C3N-02240-26,True,False,False
C3L-01330-25,True,False,False
C3N-02144-24,True,False,False
C3N-00217-24,True,False,False
C3N-01416-23,True,False,False
C3L-00893-24,True,False,False
C3L-03262-26,True,False,False
C3N-01419-27,True,False,False
C3N-02251-26,True,False,False
C3L-00140-22,True,False,False
C3N-02149-22,True,False,False
C3N-02916-23,True,False,False
C3L-00093-26,True,False,False
C3N-00167-21,True,False,False
C3N-00293-24,True,False,False
C3N-02192-25,True,False,False
C3L-00973-21,True,False,False
C3N-02948-22,True,False,False
C3N-02380-22,True,False,False
C3N-03929-26,True,False,False
C3N-02143-23,True,False,False
C3L-01330-21,True,False,False
C3N-03063-23,True,False,False
C3N-02729-23,True,False,False
C3L-04040-24,True,False,False
C3L-00913-23,True,False,False
C3N-01071-26,True,False,False
C3N-00578-26,True,False,False
C3N-04180-30,True,False,False
C3N-01030-27,True,False,False
C3N-02234-23,True,False,False
C3L-00001-21,True,False,False
C3N-03074-21,True,False,False
C3N-01415-26,True,False,False
C3L-00444-27,True,False,False
C3N-00169-23,True,False,False
C3N-02729-21,True,False,False
C3L-02643-23,True,False,False
C3N-02143-26,True,False,False
C3N-02948-27,True,False,False
C3L-04033-22,True,False,False
C3N-03080-22,True,False,False
C3N-00169-27,True,False,False
C3L-04743-25,True,False,False
C3N-02089-23,True,False,False
C3L-04370-25,True,False,False
C3L-01924-23,True,False,False
C3L-00422-23,True,False,False
C3N-02587-22,True,False,False
C3L-02345-26,True,False,False
C3N-02146-24,True,False,False
C3L-04033-24,True,False,False
C3L-04037-26,True,False,False
C3N-02758-22,True,False,False
C3L-02549-26,True,False,False
C3N-02572-21,True,False,False
C3L-00422-26,True,False,False
C3N-03212-23,True,False,False
C3L-04759-28,True,False,False
C3N-02422-21,True,False,False
C3N-02718-23,True,False,False
C3L-00446-23,True,False,False
C3N-02423-21,True,False,False
C3N-01409-21,True,False,False
C3N-01823-23,True,False,False
C3N-00560-23,True,False,False
C3N-02718-21,True,False,False
C3N-02144-23,True,False,False
C3N-01489-22,True,False,False
C3N-00572-22,True,False,False
C3L-04365-23,True,False,False
C3N-02141-23,True,False,False
C3N-03202-23,True,False,False
C3N-00546-21,True,False,False
C3N-04382-21,True,False,False
C3N-00175-27,True,False,False
C3N-02251-27,True,False,False
C3N-00574-26,True,False,False
C3L-03726-23,True,False,False
C3L-00094-26,True,False,False
C3N-02928-23,True,False,False
C3N-03073-22,True,False,False
C3L-04744-21,True,False,False
C3N-00433-23,True,False,False
C3N-00547-22,True,False,False
C3N-00959-22,True,False,False
C3L-04031-26,True,False,False
C3N-02149-21,True,False,False
C3L-03726-21,True,False,False
C3N-01415-21,True,False,False
93e30fd5-e57e-4503-a175-863c7d_D1_D1,True,False,False
C3N-00223-24,True,False,False
C3N-02242-27,True,False,False
C3N-00180-22,True,False,False
C3N-00550-27,True,False,False
C3L-04376-24,True,False,False
C3N-02193-21,True,False,False
C3N-02828-22,True,False,False
C3L-00973-27,True,False,False
C3L-04373-24,True,False,False
C3N-03054-22,True,False,False
C3N-00545-27,True,False,False
C3L-00422-25,True,False,False
C3N-04166-23,True,False,False
C3N-00223-22,True,False,False
C3L-03721-22,True,False,False
C3L-04784-28,True,False,False
C3N-00203-26,True,False,False
C3N-03765-27,True,False,False
C3L-03969-28,True,False,False
C3N-03929-21,True,False,False
C3N-00579-26,True,False,False
C3N-02529-21,True,False,False
C3N-00217-22,True,False,False
C3L-02365-24,True,False,False
C3N-03080-23,True,False,False
C3L-02559-26,True,False,False
C3N-00223-23,True,False,False
C3N-00293-25,True,False,False
C3L-01330-26,True,False,False
C3N-02721-26,True,False,False
C3L-02513-22,True,False,False
C3N-02757-23,True,False,False
C3N-01489-24,True,False,False
C3N-00738-22,True,False,False
C3L-04033-23,True,False,False
C3N-02087-26,True,False,False
C3N-02715-21,True,False,False
C3N-02588-22,True,False,False
C3N-00551-23,True,False,False
C3N-02923-21,True,False,False
C3L-03984-22,True,False,False
C3N-01016-24,True,False,False
C3L-04040-27,True,False,False
C3L-04376-23,True,False,False
C3N-01405-24,True,False,False
C3L-01683-26,True,False,False
C3N-01417-26,True,False,False
C3L-03642-21,True,False,False
C3N-01413-21,True,False,False
C3N-01823-21,True,False,False
C3N-03890-22,True,False,False
C3N-04168-23,True,False,False
C3N-02192-26,True,False,False
C3N-02090-27,True,False,False
C3N-03038-22,True,False,False
2f2e5477-42a4-4906-a943-bf7f80_D1_D1,True,False,False
C3L-00263-23,True,False,False
C3N-00433-21,True,False,False
C3N-02149-26,True,False,False
C3N-00167-22,True,False,False
C3N-02090-22,True,False,False
C3N-00203-21,True,False,False
C3N-00579-24,True,False,False
C3N-03054-21,True,False,False
C3L-02601-21,True,False,False
C3L-00604-23,True,False,False
C3N-03921-23,True,False,False
C3L-02654-25,True,False,False
C3L-01682-23,True,False,False
C3N-01842-21,True,False,False
C3L-03984-21,True,False,False
C3N-01072-26,True,False,False
C3L-04743-28,True,False,False
C3N-02433-21,True,False,False
C3L-02165-21,True,False,False
C3N-01023-24,True,False,False
C3N-04168-22,True,False,False
C3N-01416-22,True,False,False
C3N-00704-22,True,False,False
C3N-03210-21,True,False,False
C3L-02957-26,True,False,False
C3L-03271-22,True,False,False
C3L-01632-21,True,False,False
C3N-02757-22,True,False,False
C3N-00547-27,True,False,False
C3N-01071-27,True,False,False
C3L-02616-24,True,False,False
C3L-01682-22,True,False,False
C3N-04166-21,True,False,False
C3N-02087-27,True,False,False
C3L-03268-25,True,False,False
C3N-01414-21,True,False,False
C3N-04297-24,True,False,False
C3N-01823-26,True,False,False
C3N-01019-22,True,False,False
C3N-00203-24,True,False,False
C3N-00550-26,True,False,False
C3N-00203-22,True,False,False
C3N-02067-23,True,False,False
C3N-00167-23,True,False,False
C3N-00545-22,True,False,False
C3L-04376-28,True,False,False
C3N-02671-21,True,False,False
C3N-02926-23,True,False,False
C3N-02948-23,True,False,False
C3N-02146-27,True,False,False
C3N-04616-23,True,False,False
C3N-00433-27,True,False,False
C3L-00368-21,True,False,False
C3N-04171-29,True,False,False
C3N-00180-23,True,False,False
C3L-01890-26,True,False,False
C3N-02586-23,True,False,False
C3L-04743-24,True,False,False
C3N-00579-27,True,False,False
C3N-02231-22,True,False,False
C3N-01016-26,True,False,False
C3N-02090-23,True,False,False
C3L-00422-21,True,False,False
C3N-00556-21,True,False,False
C3N-02145-22,True,False,False
C3N-00556-26,True,False,False
C3N-02433-22,True,False,False
C3N-02149-27,True,False,False
C3L-00604-21,True,False,False
C3N-02920-22,True,False,False
C3N-01408-23,True,False,False
C3N-03080-21,True,False,False
C3N-02144-27,True,False,False
C3N-01408-21,True,False,False
C3L-04040-21,True,False,False
C3N-00737-21,True,False,False
C3N-03205-21,True,False,False
C3N-00580-26,True,False,False
C3L-04373-22,True,False,False
C3L-02513-23,True,False,False
C3L-00893-21,True,False,False
C3L-02643-27,True,False,False
C3N-00556-22,True,False,False
C3N-02923-24,True,False,False
C3N-02920-27,True,False,False
C3L-02345-21,True,False,False
C3N-02003-23,True,False,False
C3L-00263-25,True,False,False
C3L-04759-24,True,False,False
C3L-02129-21,True,False,False
C3N-03921-21,True,False,False
C3L-03984-28,True,False,False
C3L-03463-26,True,False,False
C3L-00279-26,True,False,False
C3N-00546-22,True,False,False
C3L-04744-26,True,False,False
C3N-02150-21,True,False,False
C3L-04040-22,True,False,False
C3N-00203-23,True,False,False
C3N-01071-23,True,False,False
C3N-03222-26,True,False,False
C3N-02088-27,True,False,False
C3N-02928-21,True,False,False
C3N-01416-27,True,False,False
C3N-02728-23,True,False,False
C3N-01416-24,True,False,False
C3N-01072-27,True,False,False
C3N-02088-21,True,False,False
C3L-04365-25,True,False,False
C3N-03233-23,True,False,False
C3L-01924-21,True,False,False
C3N-01414-27,True,False,False
C3N-02922-27,True,False,False
C3L-02515-24,True,False,False
C3N-01417-21,True,False,False
C3N-00552-23,True,False,False
C3N-01419-22,True,False,False
C3N-04166-26,True,False,False
C3N-01408-27,True,False,False
C3N-00574-24,True,False,False
C3N-02828-21,True,False,False
C3L-03985-22,True,False,False
C3N-00560-27,True,False,False
C3L-02834-24,True,False,False
C3N-01409-24,True,False,False
C3N-02150-23,True,False,False
C3N-04180-21,True,False,False
C3N-00737-27,True,False,False
C3N-02145-26,True,False,False
C3N-01405-26,True,False,False
C3N-02144-26,True,False,False
C3N-01072-24,True,False,False
C3L-02549-21,True,False,False
C3L-00263-26,True,False,False
C3N-00217-27,True,False,False
C3N-01024-21,True,False,False
C3N-04168-21,True,False,False
C3N-02158-23,True,False,False
C3N-02379-23,True,False,False
C3N-03205-23,True,False,False
C3L-02967-26,True,False,False
C3L-01862-23,True,False,False
C3N-02572-22,True,False,False
C3L-03271-21,True,False,False
C3N-01072-21,True,False,False
C3L-03268-22,True,False,False
C3N-03063-22,True,False,False
C3L-04037-28,True,False,False
C3L-04365-27,True,False,False
C3N-02919-22,True,False,False
C3N-02282-25,True,False,False
C3L-04031-25,True,False,False
C3N-02142-27,True,False,False
C3N-02146-21,True,False,False
C3N-02950-22,True,False,False
C3N-02146-26,True,False,False
C3N-01071-21,True,False,False
C3L-00973-24,True,False,False
C3N-01410-26,True,False,False
C3N-01489-21,True,False,False
C3L-01683-27,True,False,False
C3L-00140-26,True,False,False
C3L-01683-28,True,False,False
C3L-02513-24,True,False,False
C3N-02424-21,True,False,False
C3N-00549-24,True,False,False
C3N-02923-26,True,False,False
C3N-02728-21,True,False,False
C3N-00552-21,True,False,False
C3N-02715-23,True,False,False
C3N-02192-24,True,False,False
C3N-00199-27,True,False,False
C3N-02423-22,True,False,False
C3L-03726-26,True,False,False
C3N-02141-22,True,False,False
C3N-02721-23,True,False,False
C3N-00572-21,True,False,False
C3N-02145-24,True,False,False
C3L-00446-22,True,False,False
C3N-02000-23,True,False,False
C3N-02242-21,True,False,False
C3N-00199-26,True,False,False
C3L-00095-21,True,False,False
C3N-00199-21,True,False,False
C3N-00580-23,True,False,False
C3L-02508-26,True,False,False
C3N-02582-22,True,False,False
C3N-03890-26,True,False,False
C3N-01074-23,True,False,False
C3L-04744-27,True,False,False
C3N-04616-22,True,False,False
C3N-00551-22,True,False,False
C3L-02961-26,True,False,False
C3N-04616-21,True,False,False
C3N-02281-24,True,False,False
C3N-00217-23,True,False,False
C3L-02661-26,True,False,False
C3L-00510-24,True,False,False
C3L-03726-25,True,False,False
C3N-01021-23,True,False,False
C3N-03921-22,True,False,False
C3N-01023-26,True,False,False
C3N-02090-21,True,False,False
C3N-00552-26,True,False,False
C3N-02920-24,True,False,False
C3N-02764-23,True,False,False
C3L-04757-28,True,False,False
C3N-00738-24,True,False,False
C3L-02893-26,True,False,False
C3N-01799-27,True,False,False
C3L-01632-22,True,False,False
C3N-00547-21,True,False,False
C3N-01019-26,True,False,False
C3N-01413-23,True,False,False
C3N-01419-23,True,False,False
C3N-02948-26,True,False,False
C3N-02150-22,True,False,False
C3N-00549-26,True,False,False
C3N-02090-26,True,False,False
C3L-03268-23,True,False,False
C3L-04365-21,True,False,False
C3L-00444-22,True,False,False
C3N-00578-24,True,False,False
C3L-04031-24,True,False,False
C3L-02654-28,True,False,False
C3L-03268-26,True,False,False
C3L-03969-22,True,False,False
C3L-00446-26,True,False,False
C3N-02424-22,True,False,False
C3N-00549-27,True,False,False
C3N-02973-27,True,False,False
C3N-02153-26,True,False,False
C3L-01683-29,True,False,False
C3N-03238-21,True,False,False
C3L-03985-25,True,False,False
C3N-01409-22,True,False,False
C3N-03238-26,True,False,False
C3N-01410-24,True,False,False
C3L-04757-24,True,False,False
C3N-02141-21,True,False,False
C3L-02654-26,True,False,False
C3N-02002-22,True,False,False
C3L-02508-25,True,False,False
C3N-03212-21,True,False,False
C3L-03969-21,True,False,False
C3N-01408-22,True,False,False
C3N-02240-21,True,False,False
C3N-02923-23,True,False,False
C3N-04714-21,True,False,False
C3N-01419-24,True,False,False
5a84eae1-197e-4463-ad65-59becc_D1_D1,True,False,False
C3N-02916-21,True,False,False
C3N-00547-26,True,False,False
C3L-02350-26,True,False,False
C3L-04365-24,True,False,False
C3L-00368-22,True,False,False
C3N-01074-21,True,False,False
C3N-02142-22,True,False,False
C3L-04743-23,True,False,False
C3N-03057-21,True,False,False
C3N-02230-26,True,False,False
C3N-02150-26,True,False,False
C3N-04157-21,True,False,False
C3L-02643-22,True,False,False
C3N-02088-24,True,False,False
C3N-00559-23,True,False,False
C3N-02919-23,True,False,False
C3N-01016-22,True,False,False
C3L-02515-22,True,False,False
C3L-00140-21,True,False,False
C3N-02929-23,True,False,False
C3L-02129-24,True,False,False
C3N-02089-22,True,False,False
C3N-00559-21,True,False,False
C3L-04373-25,True,False,False
C3N-00574-23,True,False,False
C3N-03222-23,True,False,False
C3N-01023-27,True,False,False
C3N-03222-21,True,False,False
C3L-00604-22,True,False,False
C3L-04370-27,True,False,False
C3L-02961-21,True,False,False
C3L-02165-24,True,False,False
C3N-02141-26,True,False,False
C3N-01019-24,True,False,False
C3N-04382-27,True,False,False
C3N-01024-24,True,False,False
C3N-02145-23,True,False,False
C3L-01889-21,True,False,False
C3N-01414-22,True,False,False
C3L-02365-21,True,False,False
C3N-03929-22,True,False,False
C3N-02920-21,True,False,False
C3L-04743-27,True,False,False
C3N-00574-21,True,False,False
C3N-01413-22,True,False,False
C3N-02718-26,True,False,False
C3L-02169-25,True,False,False
C3N-00560-22,True,False,False
C3N-02234-21,True,False,False
C3L-04744-22,True,False,False
C3N-00574-22,True,False,False
C3N-01417-24,True,False,False
C3N-00167-26,True,False,False
C3N-01410-22,True,False,False
C3N-02153-21,True,False,False
C3L-00446-24,True,False,False
C3L-00094-21,True,False,False
C3N-01071-24,True,False,False
C3N-00547-24,True,False,False
C3N-02150-24,True,False,False
C3N-02922-26,True,False,False
C3N-02728-26,True,False,False
C3N-02919-24,True,False,False
C3N-02230-22,True,False,False
C3N-03222-22,True,False,False
C3L-02169-21,True,False,False
C3N-00294-25,True,False,False
C3L-00263-22,True,False,False
C3N-02231-21,True,False,False
C3N-00580-27,True,False,False
C3L-04040-26,True,False,False
C3L-02661-24,True,False,False
C3N-01488-26,True,False,False
C3L-04784-27,True,False,False
C3N-00294-21,True,False,False
C3N-01488-27,True,False,False
C3L-04757-26,True,False,False
C3N-00550-22,True,False,False
C3N-02158-24,True,False,False
C3L-02169-23,True,False,False
C3N-01024-23,True,False,False
C3N-02230-21,True,False,False
C3L-00973-28,True,False,False
C3N-01074-27,True,False,False
C3N-01408-26,True,False,False
C3L-04743-26,True,False,False
C3N-02757-21,True,False,False
C3N-03063-21,True,False,False
C3N-03052-23,True,False,False
C3L-04040-23,True,False,False
C3N-03233-22,True,False,False
C3N-00545-21,True,False,False
C3L-00368-26,True,False,False
C3N-03890-23,True,False,False
C3N-00169-21,True,False,False
C3N-00294-22,True,False,False
C3N-02922-22,True,False,False
C3L-01330-22,True,False,False
C3N-02919-21,True,False,False
C3N-02155-22,True,False,False
C3L-02515-23,True,False,False
C3L-04743-21,True,False,False
C3N-03074-23,True,False,False
C3N-01409-23,True,False,False
C3L-01632-23,True,False,False
C3L-04031-22,True,False,False
C3N-00580-22,True,False,False
C3N-02380-21,True,False,False
C3L-00279-24,True,False,False
C3L-02616-25,True,False,False
C3N-00959-21,True,False,False
C3L-03462-23,True,False,False
C3N-00169-24,True,False,False
C3L-02129-23,True,False,False
C3L-04784-25,True,False,False
C3L-01924-25,True,False,False
C3N-01021-26,True,False,False
C3N-01413-27,True,False,False
C3L-03984-23,True,False,False
C3L-01330-24,True,False,False
C3N-02928-22,True,False,False
C3N-03420-29,True,False,False
C3N-02973-23,True,False,False
C3L-02169-26,True,False,False
C3L-02893-22,True,False,False
C3L-00973-23,True,False,False
C3N-00293-21,True,False,False
C3L-03268-21,True,False,False
C3N-02088-23,True,False,False
C3N-00737-22,True,False,False
C3L-00009-26,True,False,False
C3L-01632-26,True,False,False
C3L-03985-21,True,False,False
C3L-03976-26,True,False,False
C3N-03764-22,True,False,False
C3N-01842-26,True,False,False
C3L-02654-21,True,False,False
C3N-00549-23,True,False,False
C3N-01417-22,True,False,False
C3N-00180-26,True,False,False
C3N-02451-23,True,False,False
C3L-02560-22,True,False,False
C3N-02089-26,True,False,False
C3L-04033-26,True,False,False
C3L-03984-26,True,False,False
C3N-02088-26,True,False,False
C3N-02973-22,True,False,False
C3L-01924-27,True,False,False
C3N-01488-24,True,False,False
C3L-04033-28,True,False,False
C3L-04370-21,True,False,False
C3N-00180-21,True,False,False
C3N-03238-23,True,False,False
C3L-03976-21,True,False,False
C3N-02155-21,True,False,False
C3L-04373-26,True,False,False
C3N-00167-27,True,False,False
C3L-02654-27,True,False,False
C3L-03271-25,True,False,False
C3N-00574-27,True,False,False
C3L-02365-22,True,False,False
C3N-02929-22,True,False,False
C3N-03911-26,True,False,False
C3N-02950-21,True,False,False
C3N-02242-24,True,False,False
C3L-00263-24,True,False,False
C3N-02230-27,True,False,False
C3N-01414-23,True,False,False
C3L-04759-21,True,False,False
C3N-02237-27,True,False,False
C3L-00913-22,True,False,False
C3N-03210-23,True,False,False
C3N-01019-21,True,False,False
